t,new.us
255,0.1347308208738584
256,0.13506967629554514
257,0.13506441428364205
258,0.13502286253447682
259,0.13493485992161575
260,0.1350322071418218
261,0.13499673392364792
262,0.13509562345768772
263,0.13501905211206428
264,0.13498348816954722
265,0.1354167876324591
266,0.13519306140223702
267,0.1352587458266819
268,0.13502721730294837
269,0.13548337930033552
270,0.13564468718246636
271,0.1355753737842954
272,0.1358337567136031
273,0.13573922194803467
274,0.13577823341559175
275,0.13564223762520122
276,0.13550179634199616
277,0.1355225722165788
278,0.13562363913485417
279,0.1355455254753972
280,0.13552647336333448
281,0.13590715270721604
282,0.13629763028015834
283,0.13604460008709704
284,0.13640722528669066
285,0.1361176331833373
286,0.13654612425606205
287,0.13575890913049954
288,0.135301386267965
289,0.13584146828277124
290,0.13521356510379026
