t,greedy,new,new greedy ver.,tabu
239,0.1406830636,0.1339732726,0.1612284076,0.1584803673
240,0.1408879191,0.1340759726,0.1613379119,0.1581099398
241,0.1405365438,0.1340981093,0.161781191,0.1586412215
242,0.1403966468,0.133941882,0.1622025149,0.1586381369
243,0.1403296015,0.1340244411,0.162153433,0.1587104442
244,0.1406411489,0.1341052765,0.1624290536,0.1585563943
245,0.1401590398,0.1339630208,0.1622394397,0.1589129409
246,0.140527925,0.1340798737,0.1627620119,0.1588712077
247,0.1400634163,0.1342190449,0.1629958085,0.1586531064
248,0.1405199412,0.1341287741,0.1628012955,0.1588783749
249,0.1405826317,0.1341000145,0.1630202134,0.1587636087
250,0.1405387211,0.134294709,0.1632724271,0.1590535637
251,0.1405561402,0.1345755915,0.1632039302,0.158841178
252,0.1410319894,0.1344240819,0.1635213747,0.1588030737
253,0.1407521955,0.1342904449,0.1635912324,0.1588913485
254,0.1410044999,0.1345684243,0.1630922485,0.1587893744
255,0.1409270213,0.1347308209,0.1637167949,0.1588586878
256,0.140828404,0.1350696763,0.1634849035,0.158509399
257,0.1414911453,0.1350644143,0.1643019669,0.1582765097
258,0.1413781028,0.1350228625,0.1639368014,0.1587648788
259,0.1415157316,0.1349348599,0.1642498004,0.1590028487
260,0.1415042096,0.1350322071,0.1640994702,0.1587250508
261,0.1418560386,0.1349967339,0.1637077225,0.1587436493
262,0.1416602555,0.1350956235,0.1637324902,0.1587546269
263,0.1418293657,0.1350190521,0.1640983815,0.1588285673
264,0.1416842974,0.1349834882,0.164468809,0.1587078132
265,0.1415739766,0.1354167876,0.1643069567,0.1588046161
266,0.1414032334,0.1351930614,0.1646461751,0.1587440122
267,0.1413744738,0.1352587458,0.1651071454,0.1590570112
268,0.1414509544,0.1350272173,0.1645100885,0.1589264588
269,0.1416124438,0.1354833793,0.164973327,0.159579039
270,0.1415727972,0.1356446872,0.1642948904,0.1589035963
271,0.1417765641,0.1355753738,0.1646230404,0.1590635433
272,0.1416926441,0.1358337567,0.1647441574,0.1591249637
273,0.1420059152,0.1357392219,0.1651226593,0.1593270975
274,0.1419563797,0.1357782334,0.1649018363,0.1584934316
275,0.1418819858,0.1356422376,0.1646708521,0.1586478444
276,0.141947398,0.1355017963,0.1645471041,0.1587834773
277,0.1418815322,0.1355225722,0.1646709428,0.1586710698
278,0.1417835499,0.1356236391,0.1644728008,0.1583440993
279,0.1414611155,0.1355455255,0.1648759798,0.1587859268
280,0.1413604115,0.1355264734,0.1645204311,0.1590033024
281,0.14161072,0.1359071527,0.1648174626,0.1587724089
282,0.1417768363,0.1362976303,0.1648198215,0.1587496371
283,0.1413133256,0.1360446001,0.1650533459,0.1592391857
284,0.1415664465,0.1364072253,0.1651186674,0.1587577116
285,0.1413194948,0.1361176332,0.1645696944,0.1589254609
286,0.1412450102,0.1365461243,0.1650692227,0.1588463493
287,0.1415245319,0.1357589091,0.1652325265,0.1587237807
288,0.1414079511,0.1353013863,0.1643003339,0.1587506351
289,0.1414704602,0.1358414683,0.1644094753,0.1582547358
290,0.1415238061,0.1352135651,0.1647355385,0.1590517492
291,0.1415043911,0.1355674808,0.1643033278,0.1586746988
292,0.1413833648,0.1359419909,0.1646417296,0.1579625127
293,0.1413351902,0.1360151147,0.1643622986,0.1584350958
294,0.1412717738,0.1360754464,0.16450401,0.1577492198
295,0.1413242125,0.1363230331,0.1642863623,0.1581881441
296,0.1414014189,0.1364090398,0.1639933227,0.1583558027
297,0.1414727283,0.1359505189,0.1638143236,0.1579895486
298,0.1415533822,0.1362255044,0.163734214,0.1582228916
299,0.1410663739,0.1363871752,0.1640043911,0.1584767383
300,0.1413298374,0.1365769705,0.1639542205,0.1586972892
301,0.1411215343,0.136139407,0.1639495028,0.1586815031
302,0.1411562818,0.1361422195,0.1640477573,0.1585630171
303,0.1411398606,0.1368544963,0.1646001778,0.1580878937
304,0.1411267963,0.1364609341,0.1648096603,0.1584467085
305,0.1410817063,0.1366598019,0.1647916062,0.1586319676
306,0.1411072906,0.1367168675,0.16485847,0.1582061076
307,0.1412875599,0.1365728879,0.1649408477,0.1588482545
308,0.141304979,0.1367930759,0.1648744375,0.1587849289
309,0.1411029358,0.1372990456,0.1647946908,0.1581378829
310,0.140900802,0.1372600341,0.165047721,0.1584835426
311,0.1407892111,0.1374568152,0.1651605821,0.1585552148
312,0.1408176985,0.1373609196,0.1643544963,0.158369865
313,0.1408230512,0.1379077152,0.1650801096,0.1578955581
314,0.1407047467,0.137733343,0.1655200319,0.1577489476
315,0.1405215742,0.1377571128,0.1652979387,0.1584927058
316,0.1408039991,0.1375837386,0.1654042677,0.1584903469
317,0.1406281754,0.1375535274,0.1650447271,0.1581066737
318,0.1404673211,0.1378483815,0.1649358579,0.1585040463
319,0.1408476375,0.1374073704,0.1649022899,0.1581225504
320,0.1407260669,0.1377611047,0.1647934207,0.1583025475
321,0.1408258637,0.137564505,0.1646770213,0.1582714291
322,0.140654304,0.1377660945,0.1651604006,0.159697525
323,0.1407724271,0.137516784,0.1654991653,0.1587176114
324,0.1409283822,0.1374546378,0.1655018871,0.1581562092
325,0.1407363188,0.1374178945,0.1655805451,0.1577500363
326,0.140677983,0.137728081,0.1659010742,0.1579518072
327,0.140990982,0.1378329583,0.1657983742,0.1579706779
328,0.1411312418,0.1375847365,0.1658999855,0.1578079184
329,0.140859976,0.1377418711,0.1664414284,0.1574837603
330,0.1409091486,0.1378600849,0.1662811184,0.1579308499
331,0.140931739,0.1378726049,0.1661412215,0.1577504899
332,0.1408288576,0.1379276746,0.1660820692,0.1576943315
333,0.1408287669,0.1380037923,0.1661307882,0.1574683372
334,0.1409582305,0.1378030193,0.1666691465,0.1572611228
335,0.1409169509,0.1379962622,0.1661464835,0.1573004064
336,0.1411762411,0.137840307,0.1662792132,0.1578593591
337,0.1410163848,0.1381541225,0.1660505879,0.1578293294
338,0.1413678509,0.1379077152,0.1659878974,0.157840307
339,0.1412925497,0.1383637865,0.166105839,0.1578259726
340,0.1417341958,0.1386401328,0.1660618377,0.1579724017
341,0.1417886304,0.1386611809,0.1660827043,0.1577624655
342,0.1419133764,0.1381729025,0.1661892147,0.1577959428
343,0.1421042604,0.1385135724,0.1667062527,0.1583311257
344,0.1418306358,0.138453785,0.167312745,0.1585201045
345,0.1416547213,0.1388680324,0.1673447706,0.1583164284
346,0.141800606,0.1390115583,0.1672730984,0.1583648752
347,0.1417733887,0.1386295181,0.1669441319,0.1584115075
348,0.1417734795,0.1389467811,0.16735221,0.158985974
349,0.1414925969,0.1387274096,0.1666161634,0.1583983524
350,0.1418602119,0.1385579366,0.1674569059,0.1586238932
351,0.1418134889,0.1386857672,0.1676725577,0.1582815902
352,0.1420361264,0.1389079511,0.1674508274,0.1591715053
353,0.1418607563,0.1389499565,0.1678178074,0.1585057701
354,0.1420084555,0.1390825954,0.1673955763,0.1585541261
355,0.1420574467,0.1386946582,0.1675863696,0.1592781971
356,0.1423242669,0.1389459646,0.1673713529,0.1592463529
357,0.1421097946,0.1387105349,0.1678255189,0.1592435404
358,0.142150802,0.1389151183,0.1680727428,0.1593443352
359,0.1420424771,0.1397075047,0.1679816555,0.1594718029
360,0.1421166897,0.1391596204,0.167663576,0.1592867252
361,0.1421371934,0.1394920344,0.1684933408,0.1594484867
362,0.1423200936,0.1395529104,0.1682504718,0.1593313616
363,0.142008637,0.1391848418,0.1690181812,0.1591287741
364,0.1417840942,0.1395374873,0.1688194041,0.1593182973
365,0.142117234,0.1391371208,0.16860847,0.15932991
366,0.1421186856,0.1396293911,0.1685144796,0.1590952061
367,0.1419290717,0.1395659747,0.168550225,0.1594632748
368,0.1419436783,0.1393613913,0.1684686638,0.1591705981
369,0.1420720533,0.1394511177,0.1683828386,0.1589893308
370,0.1420456525,0.1396348345,0.168125998,0.1589785346
371,0.1422328168,0.1397015169,0.1683575265,0.158841813
372,0.1420357635,0.139704783,0.1680521484,0.1589687364
373,0.14204284,0.1395157135,0.1682730621,0.159031064
374,0.14184243,0.1398137429,0.1680936094,0.1592566955
375,0.1420042822,0.1399388518,0.1685109414,0.1595373059
376,0.1420818515,0.1397143998,0.1685559406,0.1596643199
377,0.141939505,0.1399043765,0.1680224815,0.1593501415
378,0.1417719371,0.1400419146,0.1681154739,0.1593814414
379,0.1416116272,0.1398880462,0.168085172,0.1593029649
380,0.1417320184,0.1400069858,0.1677624655,0.1593137611
381,0.1416576245,0.14004509,0.1675405538,0.1593851611
382,0.1419185477,0.1403345914,0.1678575446,0.1596512556
383,0.1415506605,0.140136903,0.1679056285,0.1592612317
384,0.1417966142,0.1401646647,0.1682486573,0.1593098599
385,0.1414925062,0.1403242488,0.1679966251,0.1591234214
386,0.1417260306,0.1400583358,0.1679600631,0.159628756
387,0.1419057556,0.1401640296,0.1679144288,0.1591094498
388,0.141769669,0.1401496952,0.168366236,0.1593779032
389,0.1418244665,0.1400508964,0.167811003,0.1591268689
390,0.1414921433,0.1398681775,0.1675291225,0.1591497315
391,0.1413756532,0.1400338402,0.1677419618,0.1588360974
392,0.1413521556,0.1401963275,0.1680839926,0.1588350994
393,0.1414292713,0.1403121825,0.1676462476,0.1583992597
394,0.1414263681,0.1401897046,0.1675745754,0.1583669618
395,0.1414255516,0.1403843083,0.1675340216,0.158506133
396,0.141668965,0.1401910655,0.1676138591,0.1584544201
397,0.1414028705,0.1406704529,0.1676193932,0.1585406082
398,0.1414087676,0.1408225976,0.1678056503,0.158642038
399,0.141355331,0.1412557156,0.1671757512,0.1586138228
400,0.1414337168,0.141133147,0.1677682719,0.1589624764
401,0.1414982218,0.1408177892,0.1674767746,0.1591016476
402,0.1414463275,0.1409381804,0.16809243,0.159084047
403,0.1414023262,0.1410820692,0.1687557156,0.1588367325
404,0.1415392292,0.1412876506,0.1681406953,0.158959664
405,0.1414263681,0.1414480512,0.1684072434,0.1591077261
406,0.1414593918,0.1412571672,0.1679810205,0.158551858
407,0.1415013972,0.1412118051,0.168021665,0.1589334446
408,0.1414221041,0.1417183191,0.1679507185,0.1585709101
409,0.1412688707,0.1410852446,0.1681359776,0.1590005806
410,0.1412647881,0.1413875381,0.1684892582,0.1589544019
411,0.1410418784,0.1412969045,0.1682919328,0.1583798447
412,0.1412689614,0.1414894215,0.1682110067,0.1587833866
413,0.1415618196,0.1411864022,0.1679298519,0.1588732944
414,0.1411741544,0.141155556,0.1680790028,0.1589074067
415,0.1413018943,0.1412459174,0.1681152018,0.1588468029
416,0.1412146175,0.141260524,0.1682625381,0.1592365547
417,0.1411645377,0.1411544673,0.1681844244,0.1591363043
418,0.1412446473,0.1409593192,0.1682198977,0.1591637937
419,0.1412957251,0.141358597,0.1687240528,0.1589301785
420,0.1414490492,0.1413861772,0.1684726557,0.1588650385
421,0.141142038,0.1410357091,0.1688965198,0.1588202206
422,0.1410386123,0.1415095623,0.1687206053,0.1589034149
423,0.1413031645,0.1414609341,0.1688604115,0.1588592321
424,0.1411548302,0.1414115801,0.1686852228,0.1590733416
425,0.1415307011,0.1417369175,0.1688395449,0.1589503194
426,0.1412989004,0.1416745899,0.1689353498,0.1589304507
427,0.1419408659,0.1419072979,0.1692701227,0.1587567136
428,0.1418428836,0.1416976339,0.1690039374,0.1586285201
429,0.1418456053,0.1421265786,0.1692281173,0.1587255044
430,0.1416787632,0.142228462,0.1687883764,0.1584621317
431,0.141595569,0.142312745,0.1690914864,0.1585623821
432,0.1415982,0.1424810386,0.1686067463,0.1584641276
433,0.1416741363,0.142767909,0.1694002214,0.1587856547
434,0.1415796015,0.1427366091,0.1691963638,0.1584996008
435,0.1416666062,0.1430803636,0.1686791443,0.1586691646
436,0.1417003556,0.1428588148,0.1686135506,0.1588499782
437,0.1417399115,0.1428276056,0.1687454638,0.1585914138
438,0.1420327696,0.1429691356,0.1686301531,0.1585426949
439,0.14152054,0.1428149949,0.1686412215,0.1580613115
440,0.1412931848,0.1430500617,0.168030556,0.158262901
441,0.1415319713,0.1427663667,0.1688259363,0.158244484
442,0.1414690993,0.1433881913,0.1686883982,0.1580356365
443,0.1414150276,0.143100323,0.1683322144,0.157529304
444,0.1412764008,0.1433555306,0.1683659639,0.1578374038
445,0.1412126216,0.1432713384,0.1690252577,0.1575117942
446,0.1410952243,0.1432488387,0.1688166824,0.1573518471
447,0.1411220787,0.1432877595,0.1688378212,0.1573163739
448,0.1414064088,0.1435152961,0.1692052548,0.1574021084
449,0.1412876506,0.1436812309,0.1692756568,0.1578215271
450,0.1412492742,0.143511395,0.1697950537,0.1578022935
451,0.1413341015,0.143730585,0.1695337676,0.1580770975
452,0.1410543983,0.1436998294,0.1701870736,0.1581075809
453,0.1414957722,0.1435046814,0.169839055,0.1582322362
454,0.141164084,0.1436434896,0.1699011105,0.1579518072
455,0.1411990129,0.1436784185,0.1701154014,0.1580923392
456,0.1412343954,0.1432791407,0.1702283532,0.1581726303
457,0.1412803019,0.1435212839,0.1699295072,0.1583167005
